artifact_title,artifact_type,artifact_created_at,source_count,deleted_source_count,source_titles
20260831-1905_agv_master_anti_slop_blueprint.md,Custom,2026-09-01T02:05:23.094Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_anymd_AnymdDbEngine.kt,Custom,2026-09-01T02:05:17.982Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_anymd_LocalWebhookService.kt,Custom,2026-09-01T02:05:11.891Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_kvmeow_InputMethodService.kt,Custom,2026-09-01T02:05:05.315Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_anymd_StickyOmniDataStore.kt,Custom,2026-09-01T02:05:01.148Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_anymd_deploy_vps.sh,Custom,2026-09-01T02:04:55.312Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_anymd_readme.md,Custom,2026-09-01T02:04:48.215Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_anymd_changelog.md,Custom,2026-09-01T02:04:43.826Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1905_anymd_gitignore,Custom,2026-09-01T02:04:37.659Z,67,0,"Merged Sources (6/26) | Merged Sources (45/49) | Merged Sources (26/49) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | 20260831-1456_kvmeow_native_gradle_migration | Merged Sources (34/49) | Merged Sources (48/49) | Merged Sources (3/26) | Merged Sources (2/49) | Merged Sources (27/49) | Merged Sources (8/49) | Merged Sources (37/49) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | Merged Sources (19/49) | Merged Sources (18/49) | Merged Sources (13/49) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | Merged Sources (47/49) | Merged Sources (11/49) | Merged Sources (36/49) | Merged Sources (49/49) | 20260831-1454_react_native_anti_pattern_incident | anymd_master_work_ledger.md | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | Merged Sources (22/49) | Merged Sources (21/49) | Merged Sources (5/26) | Merged Sources (28/49) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | Merged Sources (10/49) | Merged Sources (14/49) | Merged Sources (25/49) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | [20260831-1859] Complete System Blueprint: StickyOmni, AnyMD, KVMeowboard & SFM-256 Engine Specs | 20260831-1450_antigravity_build_failure_postmortem | 20260831-1447_kvmeow_anymd_architecture_spec | Merged Sources (17/49) | Merged Sources (42/49) | Merged Sources (24/49) | [20260831-1900] Master Anti-Slop Enforcement & Sticky Settings Architecture Spec | Merged Sources (39/49) | Merged Sources (43/49)"
20260831-1318_anymd_historical_agv_chat_logs.md,Custom,2026-08-31T20:20:23.959Z,110,50,(deleted source: 0037fa1d-ed51-42b7-8b05-3cc65b1c39d8) | (deleted source: 0394499c-a675-4f6d-bb5a-6d0957081677) | (deleted source: 06c68d7b-36d1-49ae-9ef6-57aa106da52c) | Merged Sources (6/26) | Merged Sources (45/49) | (deleted source: 107728fe-abea-4ab0-be3b-c6c0e76b5820) | Merged Sources (26/49) | (deleted source: 139f705a-47d1-4f93-bbfa-749863b807d0) | Merged Sources (38/49) | Merged Sources (4/49) | Merged Sources (1/50) | Merged Sources (2/26) | (deleted source: 22364e57-07f4-4988-a854-dca9f13af6cf) | (deleted source: 283bcdc6-0229-4aa6-91b0-dd0013f5ef54) | All notes 8/25/2026 | Merged Sources (6/49) | Merged Sources (3/49) | Merged Sources (34/49) | Merged Sources (48/49) | (deleted source: 325e7547-28e5-46d0-b032-46ad5ff41060) | Merged Sources (3/26) | (deleted source: 34c39da0-19c6-4747-84de-f01b769f6019) | (deleted source: 34fb95e4-9876-4274-ab95-80d6c26e6792) | (deleted source: 393df5bd-45ff-4ba4-a5d0-df5fc7e27920) | Merged Sources (2/49) | (deleted source: 3ae7b182-cac3-403d-abcb-8b3ef00d5758) | (deleted source: 3d41b7d5-b04b-425a-b156-12b2958c8dc4) | Merged Sources (27/49) | Merged Sources (8/49) | (deleted source: 4735615c-2b43-4f87-9cd6-01e20d474747) | (deleted source: 491df4e4-82e1-45f3-b355-2829adefee50) | Merged Sources (37/49) | (deleted source: 4cec01f8-427a-43e8-a0ff-9933a04262a0) | All notes 8/25/2026 | merged_conversations.md | Merged Sources (46/49) | (deleted source: 537e255d-843c-4e7c-8b32-9bfa9f4ebe93) | (deleted source: 553891ce-727e-4b2e-a5bc-f8f2fefbbb99) | Merged Sources (19/49) | (deleted source: 5943edce-3025-48a0-9fb9-0f3f5c35f151) | (deleted source: 5bb5c299-a5d0-4aea-a95a-a48e6ada7394) | (deleted source: 5d1172f0-8150-403a-9619-c1e14ccda32d) | Merged Sources (18/49) | Merged Sources (13/49) | (deleted source: 61ad0ac3-6576-4612-9fb5-62727bd676ea) | Merged Sources (7/26) | Merged Sources (33/49) | Merged Sources (20/49) | Merged Sources (30/49) | Merged Sources (1/49) | (deleted source: 70d6319f-95d2-40fc-a061-f73e864a903c) | Merged Sources (1/26) | Merged Sources (40/49) | Merged Sources (44/49) | Merged Sources (41/49) | (deleted source: 75ab5287-cad2-417a-9919-8a6127ddc62e) | (deleted source: 78a0c159-2f50-470d-8963-ef28a31ce48f) | (deleted source: 78a29511-2329-4da5-912b-98b41587c0d2) | (deleted source: 7b05184a-6418-4fb0-a5a5-eaf04326837d) | Merged Sources (47/49) | (deleted source: 8e5ad5d7-5fd1-477a-b5ba-fa6258fb6ca9) | Merged Sources (11/49) | Merged Sources (36/49) | (deleted source: 8fef559f-5af3-426b-a76a-f692e825d00f) | Merged Sources (49/49) | (deleted source: 9589e828-0c4b-4d8f-8ead-8df493549673) | (deleted source: 96c57c89-df2d-465d-bcf0-726ccb266aa0) | (deleted source: 9b1d44fe-eac2-4cde-986e-f6cd7576cdd9) | Merged Sources (4/26) | Merged Sources (12/49) | Merged Sources (16/49) | Merged Sources (35/49) | Merged Sources (9/49) | (deleted source: a3f34fb1-abf0-4930-80c4-7e0453df7bc9) | (deleted source: a6d6d97f-b1b6-452f-986b-92e92d9d5a00) | Merged Sources (22/49) | Merged Sources (21/49) | (deleted source: aaf523e2-3641-4fb3-8dcf-11f52106d616) | (deleted source: ab629049-c81c-4e26-95da-fc4a8535540c) | (deleted source: ab71e2c8-9294-4169-8507-40c6c24b74cc) | Merged Sources (5/26) | Merged Sources (28/49) | (deleted source: afd3ce06-2630-4fe5-bec5-ec3bd4feac26) | (deleted source: b228e003-070e-4002-a778-fd9ada56fd29) | Merged Sources (5/49) | Merged Sources (7/49) | Merged Sources (29/49) | Merged Sources (15/49) | (deleted source: bae201fc-f4de-47ef-99ba-f06102ced59a) | Merged Sources (10/49) | (deleted source: c460a8af-6f1c-4d43-9436-6b53a0ec791d) | Merged Sources (14/49) | Merged Sources (25/49) | (deleted source: c7e49f08-c49e-49aa-a659-31f093bd0f68) | Merged Sources (23/49) | Merged Sources (32/49) | Merged Sources (31/49) | (deleted source: d8fa7dcc-d969-45e9-82f9-e3f56a827c96) | (deleted source: e2e43d1e-e514-443a-b549-6e4d12dd08a9) | Merged Sources (17/49) | Merged Sources (42/49) | (deleted source: e5e75eb5-2b51-4301-9abf-01259cd663bc) | Merged Sources (24/49) | (deleted source: ed9e053e-c489-4a09-8270-4e3288378182) | (deleted source: f3e637a1-15f2-4a2c-b2f3-390767757720) | (deleted source: f3ef57ff-5b8c-420e-847c-6c999525a471) | (deleted source: f3fb3f25-08a1-4c66-98e4-13850decee38) | (deleted source: f4c61cf0-887b-46da-8c15-b95b268d3b40) | Merged Sources (39/49) | Merged Sources (43/49)
